post_title,post_content,region,excerpt
"Bwindi Impenetrable National Park","Bwindi is famous for mountain gorillas.","Southwestern","Trek to see mountain gorillas in dense forest."
"Kidepo Valley National Park","Remote, spectacular savannah and wildlife.","Northern","Wild, remote park with large ungulates and predators."
"Murchison Falls National Park","Murchison's spectacular waterfall and Nile gorge.","Northern/West Nile","See the Nile squeeze through a narrow gorge and drop in a thundering waterfall."
"Kibale National Park","Champion chimpanzee trekking in old-growth forest.","Western","High density of primates and rich birdlife."
"Ziwa Rhino Sanctuary","Uganda's only place with wild rhino sightings (reintroduced).","Central","Day-trip sanctuary where white rhinos are protected."
"Fort Portal","Town and nearby crater lakes; cultural hub.","Western","Gateway to Rwenzori and crater lake ring."
"Queen Elizabeth National Park","Diverse habitats with tree-climbing lions and Kazinga Channel.","Western","Big game, boat safaris and stunning views."
"Semuliki National Park","Lowland rainforest and hot springs.","Western","Unique lowland forest and diverse flora/fauna."
"Lake Bunyonyi","Scenic terraced lake in the southwest.","Southwestern","Deep lake with islands and community tourism."
"Sipi Falls","Series of waterfalls on Mount Elgon's eastern slopes.","Eastern","Hiking, tea gardens, and exhilarating views."
"Mount Elgon National Park","Extinct volcano with caves and cliffs.","Eastern","Hiking, mountain scenery, and cultural experiences."
"Fort Portal Marathon","Annual marathon event in Fort Portal.","Western","Community running event drawing regional participants."
